Name,Position,FantasyPros ECR,Expert composite,ESPN Field Yates,CBS Consensus
A.J. Brown,WR,12,21,25,23
Aaron Jones,RB,112,120,65,121
Adonai Mitchell,WR,159,177,,166
Alec Pierce,WR,86,78,103,87
Alvin Kamara,RB,143,158,,142
Amon-Ra St. Brown,WR,6,7,9,6
Ashton Jeanty,RB,14,12,21,13
Bhayshul Tuten,RB,68,47,62,58
Bijan Robinson,RB,4,2,1,2
Blake Corum,RB,109,99,111,100
Bo Nix,QB,97,106,96,130
Braelon Allen,RB,168,205,,197
Breece Hall,RB,40,28,32,40
Brenton Strange,TE,145,149,,157
Brian Robinson,RB,162,165,,147
Brian Thomas,WR,74,60,131,62
Brock Bowers,TE,22,19,18,24
Bucky Irving,RB,58,45,45,54
Caleb Williams,QB,65,71,106,94
Calvin Ridley,WR,181,178,118,173
Cam Skattebo,RB,53,41,37,38
Carnell Tate,WR,66,57,77,74
CeeDee Lamb,WR,7,9,13,10
Chase Brown,RB,18,13,15,9
Chig Okonkwo,TE,148,147,,152
Chris Godwin,WR,78,85,91,79
Chris Olave,WR,21,30,23,27
Chris Rodriguez,RB,142,128,,118
Christian McCaffrey,RB,8,6,3,8
Christian Watson,WR,57,63,79,63
Chuba Hubbard,RB,85,87,47,95
Colston Loveland,TE,36,40,53,36
Courtland Sutton,WR,79,91,78,83
Cyrus Allen,WR,287,243,,168
D'Andre Swift,RB,61,50,54,48
DJ Moore,WR,55,62,68,46
DK Metcalf,WR,73,83,60,91
Dak Prescott,QB,76,92,97,76
Dallas Goedert,TE,123,141,94,122
Dalton Kincaid,TE,113,133,,138
Dalton Schultz,TE,165,169,127,178
Davante Adams,WR,48,46,41,55
David Montgomery,RB,63,48,56,59
De'Zhaun Stribling,WR,171,145,,136
DeVonta Smith,WR,23,29,38,28
Deebo Samuel,WR,155,116,,108
Denzel Boston,WR,156,142,,127
Derrick Henry,RB,38,20,14,19
Devon Achane,RB,19,15,4,12
Dontayvion Wicks,WR,178,185,,180
Drake London,WR,11,18,17,15
Drake Maye,QB,35,65,46,51
Dylan Sampson,RB,141,160,,139
Emeka Egbuka,WR,39,37,50,30
Garrett Wilson,WR,28,43,34,43
George Holani,RB,224,196,,184
George Pickens,WR,16,26,24,21
Germie Bernard,WR,209,197,,176
Harold Fannin,TE,71,94,48,81
Hunter Henry,TE,153,155,119,167
Isaac TeSlaa,WR,188,189,,
Isaiah Likely,TE,119,127,121,78
Isiah Pacheco,RB,147,146,140,131
J.K. Dobbins,RB,105,89,95,89
Ja'Marr Chase,WR,1,3,5,3
Jacory Croskey-Merritt,RB,118,111,123,90
Jadarian Price,RB,72,58,55,71
Jahmyr Gibbs,RB,3,1,2,1
Jake Ferguson,TE,111,125,92,155
Jakobi Meyers,WR,95,117,86,99
Jalen Coker,WR,126,123,116,110
Jalen Hurts,QB,56,72,52,65
Jalen McMillan,WR,160,143,,165
Jalen Nailor,WR,180,161,,132
James Conner,RB,173,238,,175
James Cook,RB,17,11,10,11
Jameson Williams,WR,54,51,76,61
Javonte Williams,RB,47,32,30,37
Jaxon Smith-Njigba,WR,5,5,6,5
Jaxson Dart,QB,93,102,59,107
Jayden Daniels,QB,50,67,39,56
Jayden Higgins,WR,121,124,134,129
Jayden Reed,WR,108,107,129,109
Jaylen Waddle,WR,37,36,40,42
Jaylen Warren,RB,70,69,81,80
Jeremiyah Love,RB,41,24,20,35
Jerry Jeudy,WR,151,184,132,171
Joe Burrow,QB,44,68,73,53
Jonathan Taylor,RB,10,8,8,7
Jonathon Brooks,RB,122,79,133,82
Jordan Addison,WR,106,82,104,86
Jordan Mason,RB,124,100,124,101
Jordyn Tyson,WR,90,66,87,88
Josh Allen,QB,25,35,26,34
Josh Downs,WR,92,96,,75
Josh Jacobs,RB,43,38,11,31
Justice Hill,RB,216,246,138,
Justin Herbert,QB,67,88,89,84
Justin Jefferson,WR,9,10,12,16
Juwan Johnson,TE,140,168,117,164
KC Concepcion,WR,129,105,137,114
Keaton Mitchell,RB,152,140,126,149
Kenneth Gainwell,RB,100,110,71,96
Kenneth Walker,RB,29,17,29,17
Kenyon Sadiq,TE,191,159,,
Khalil Shakir,WR,117,131,105,133
Kimani Vidal,RB,176,215,,163
Kyle Monangai,RB,98,101,109,102
Kyle Pitts,TE,80,97,58,72
Kyren Williams,RB,42,31,36,33
Ladd McConkey,WR,34,39,67,41
Lamar Jackson,QB,31,56,31,44
Luther Burden,WR,46,52,84,47
Makai Lemon,WR,103,75,130,112
Malik Nabers,WR,27,23,28,25
Mark Andrews,TE,128,129,,126
Marvin Harrison,WR,64,64,74,68
Matthew Golden,WR,133,119,93,125
Matthew Stafford,QB,101,113,98,119
Michael Pittman,WR,83,84,80,105
Michael Wilson,WR,89,95,85,93
Mike Evans,WR,51,55,102,67
Nico Collins,WR,13,22,35,22
Omarion Hampton,RB,24,14,27,14
Parker Washington,WR,77,70,107,64
Puka Nacua,WR,2,4,7,4
Quentin Johnston,WR,102,77,,85
Quinshon Judkins,RB,60,53,44,45
RJ Harvey,RB,91,86,100,104
Rachaad White,RB,110,90,83,103
Rashee Rice,WR,20,25,19,20
Rashid Shaheed,WR,144,134,,148
Rashod Bateman,WR,195,259,,
Rhamondre Stevenson,RB,81,76,66,73
Rico Dowdle,RB,88,93,101,77
Rome Odunze,WR,59,59,42,60
Romeo Doubs,WR,127,122,120,128
Sam LaPorta,TE,84,80,82,57
Saquon Barkley,RB,26,16,22,18
Stefon Diggs,WR,137,98,,106
T.J. Hockenson,TE,169,164,,
Tank Bigsby,RB,157,151,,159
Tank Dell,WR,192,183,136,144
Tee Higgins,WR,33,34,57,29
Terrance Ferguson,TE,204,199,,195
Terry McLaurin,WR,45,49,61,49
Tetairoa McMillan,WR,32,42,51,39
Tony Pollard,RB,82,74,63,70
Travis Etienne,RB,49,44,33,50
Travis Hunter,WR,161,121,,172
Travis Kelce,TE,99,118,99,98
Tre Tucker,WR,164,148,,135
TreVeyon Henderson,RB,62,54,69,69
Trey McBride,TE,15,27,16,26
Tucker Kraft,TE,69,73,88,66
Tyjae Spears,RB,138,163,110,134
Tyler Allgeier,RB,134,150,125,141
Tyler Warren,TE,52,61,49,52
Tyrone Tracy,RB,131,130,114,117
Wan'Dale Robinson,WR,87,104,72,97
Woody Marks,RB,132,135,139,124
Xavier Worthy,WR,125,109,135,116
Zach Charbonnet,RB,139,166,115,123
Zachariah Branch,WR,205,186,,189
Zay Flowers,WR,30,33,43,32
